책이름,저자,역자,출판일,페이지수,정가,할인가,적립마일리지
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍 ,x,2021-06-30,580 쪽,"29,000","29,000",870점 (3%)
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 숲속 놀이터,클레어 스탬퍼 ,x,2021-06-30,96 쪽,"8,000","7,200",400점 (5%)
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 우리 동네,자나 컬 ,x,2021-06-30,96 쪽,"8,000","7,200",400점 (5%)
처음 배우는 네트워크 보안,장상근(맥스) ,x,2021-06-30,324 쪽,"28,000","25,200","1,400점 (5%)"
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아 ",x,2021-06-28,428 쪽,"24,000","24,000",720점 (3%)
"IT CookBook, 정보 보안 개론(4판)",양대일 ,x,2021-06-28,568 쪽,"30,000","30,000",900점 (3%)
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철 ",x,2021-06-28,472 쪽,"24,000","24,000",720점 (3%)
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh , 한빛수학교재연구소 ,2021-06-28,580 쪽,"32,000","32,000",960점 (3%)
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott) ," 한빛수학교재연구소 , 김세익(감수) ",2021-06-28,384 쪽,"26,000","26,000",780점 (3%)
초보 판매자가 빅파워셀러로 거듭나는 네이버 스마트스토어 마케팅 시작하기,정진수 ,x,2021-06-28,252 쪽,"17,800","16,020",890점 (5%)
게임세대 내 아이와 소통하는 법,이장주 ,x,2021-06-25,272 쪽,"16,000","14,400",800점 (5%)
세상에서 제일 친절한 엑셀(개정판),박재영 ,x,2021-06-25,364 쪽,"18,000","16,200",900점 (5%)
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM , 허경용 ,2021-06-21,480 쪽,"32,000","32,000",960점 (3%)
고개를 끄덕이는 것만으로도 위로가 되니까,문지애 ,x,2021-06-21,248 쪽,"15,000","13,500",750점 (5%)
"IT CookBook, 난생처음 인공지능 입문",서지영 ,x,2021-06-18,428 쪽,"25,000","25,000",750점 (3%)
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱 ",x,2021-06-14,288 쪽,"20,000","20,000",600점 (3%)
회사에서 바로 통하는 실무 엑셀 함수&수식 - 모든 버전용,"김경자 , 송선영 ",x,2021-06-11,448 쪽,"24,000","21,600","1,200점 (5%)"
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범 ",x,2021-06-10,416 쪽,"22,000","22,000",660점 (3%)
지리의 쓸모,전국지리교사모임 ,x,2021-06-10,360 쪽,"18,800","16,920",940점 (5%)
"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수 ",x,2021-06-07,440 쪽,"26,000","26,000",780점 (3%)
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭 ",x,2021-06-07,448 쪽,"25,000","25,000",750점 (3%)
개발자에서 아키텍트로,마이클 킬링 , 김영재 ,2021-06-07,392 쪽,"27,000","24,300","1,350점 (5%)"
머신러닝을 활용한 웹 최적화,이쓰카 슈헤이 , 김연수 ,2021-06-07,340 쪽,"34,000","30,600","1,700점 (5%)"
파이썬으로 살펴보는 아키텍처 패턴,"해리 퍼시벌 , 밥 그레고리 ", 오현석 ,2021-06-03,356 쪽,"32,000","28,800","1,600점 (5%)"
NGINX 쿡북,데릭 디용기 , 노승헌 ,2021-06-01,236 쪽,"20,000","18,000","1,000점 (5%)"
리얼 국내여행 [2021~2022년 최신판],배나영 ,x,2021-06-01,428 쪽,"18,000","16,200",900점 (5%)
리얼 제주 [2021~2022년 최신판],"김태연(제주레이) , 양정임(제주규리) ",x,2021-06-01,352 쪽,"17,000","15,300",850점 (5%)
린 AI,로밋 파텔 ," 박기석 , 최은정 ",2021-06-01,260 쪽,"18,000","16,200",900점 (5%)
지금 당장 회계공부 시작하라(전면개정판),"강대준 , 신홍철 ",x,2021-06-01,424 쪽,"19,800","17,820",990점 (5%)
파이토치로 배우는 자연어 처리,"델립 라오 , 브라이언 맥머핸 ", 박해선 ,2021-06-01,296 쪽,"26,000","23,400","1,300점 (5%)"
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연 ,x,2021-05-31,432 쪽,"24,000","24,000",720점 (3%)
보고서 발표 실무 강의 - 잘 쓰고 제대로 전달하는 보고의 기술,채종서 ,x,2021-05-31,232 쪽,"18,000","16,200",900점 (5%)
만화로 배우는 서양사 중세 3,"올리비에 보비노 , 파스칼 마냐 ", 이정은 ,2021-05-28,168 쪽,"18,500","16,650",925점 (5%)
소문난 명강의 : 오준석의 플러터 생존코딩(개정판),오준석 ,x,2021-05-28,340 쪽,"28,000","25,200","1,400점 (5%)"
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란 ",x,2021-05-24,572 쪽,"25,000","25,000",750점 (3%)
재미있고 빠른 첫 한글 쓰기 2권 : 가나다 글자,한빛학습연구회 ,x,2021-05-20,80 쪽,"6,500","5,850",325점 (5%)
재미있고 빠른 첫 한글 준비 선 긋기 2권 : 글자 모양 따라 긋기,한빛학습연구회 ,x,2021-05-20,64 쪽,"6,000","5,400",300점 (5%)
테슬라 웨이,미카엘 발랑탱 , 오웅석 ,2021-05-20,268 쪽,"17,500","15,750",875점 (5%)
모던 자바스크립트 핵심 가이드,알베르토 몬탈레시 ," 임지순 , 권영재 ",2021-05-14,284 쪽,"19,800","17,820",990점 (5%)
고성능 파이썬(2판),"미샤 고렐릭 , 이안 오스발트 ", 오현석 ,2021-05-10,528 쪽,"36,000","32,400","1,800점 (5%)"
"데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ", 대니얼WJ ,2021-05-10,428 쪽,"35,000","31,500","1,750점 (5%)"
데이터 과학을 위한 통계(2판),"피터 브루스 , 앤드루 브루스 , 피터 게데크 ", 이준용 ,2021-05-07,380 쪽,"34,000","30,600","1,700점 (5%)"
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",강남석 ,x,2021-05-07,492 쪽,"28,000","25,200","1,400점 (5%)"
부동산 세금 사용설명서,"김성일 , 우승일(감리) ",x,2021-05-03,208 쪽,"12,000","10,800",600점 (5%)
소문난 명강의 : 김상형의 SQL 정복,김상형 ,x,2021-05-01,708 쪽,"39,000","35,100","1,950점 (5%)"
이벤트 기반 마이크로서비스 구축,애덤 벨메어 , 이일웅 ,2021-05-01,380 쪽,"28,000","25,200","1,400점 (5%)"
파이썬 비동기 라이브러리 Asyncio,케일럽 해팅 , 동동구 ,2021-05-01,176 쪽,"18,000","16,200",900점 (5%)
한 권으로 끝내는 Node & Express(2판),이선 브라운 , 한선용 ,2021-05-01,448 쪽,"28,000","25,200","1,400점 (5%)"
나는 독이 되는 관계를 끝내기로 했다,마리옹 블리크 , 조민영 ,2021-04-30,332 쪽,"15,500","13,950",775점 (5%)
맛있는 디자인 어도비 XD CC,임선주 ,x,2021-04-30,364 쪽,"24,000","21,600","1,200점 (5%)"
엑셀 데이터 분석 바이블,최준선 ,x,2021-04-30,712 쪽,"38,000","34,200","1,900점 (5%)"
읽는 순간 웃음이 팡! 낱말 퍼즐의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",x,2021-04-30,120 쪽,"9,800","8,820",490점 (5%)
읽는 순간 웃음이 팡! 속담의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",x,2021-04-30,152 쪽,"11,000","9,900",550점 (5%)
읽는 순간 웃음이 팡! 수수께끼의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",x,2021-04-30,152 쪽,"11,000","9,900",550점 (5%)
쿼커스 쿡북,"알렉스 소토 부에노 , 제이슨 포터 ", 유동환 ,2021-04-28,460 쪽,"35,000","31,500","1,750점 (5%)"
1년 후 내가 이 세상에 없다면,시미즈 켄 , 박소영 ,2021-04-23,200 쪽,"13,800","12,420",690점 (5%)
중세 1 : 만화로 배우는 서양사,"플로리앙 마젤 , 뱅상 소렐(그림) ", 이하임 ,2021-04-23,168 쪽,"18,500","16,650",925점 (5%)
중세 2 : 만화로 배우는 서양사,"파니 마들린 , 다니엘 카사나브(그림) ", 김수영 ,2021-04-23,168 쪽,"18,500","16,650",925점 (5%)
누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미 ", 권기태 ,2021-04-09,388 쪽,"19,800","19,800",594점 (3%)
실전 시계열 분석,에일린 닐슨 , 박찬성 ,2021-04-09,568 쪽,"38,000","34,200","1,900점 (5%)"
우리가 시를 처음 쓴다면 그건 분명 윤동주일 거야: 『하늘과 바람과 별과 시』 필사,"윤동주 , 유한빈(펜크래프트) , 콰야 ",x,2021-04-05,196 쪽,"13,800","12,420",690점 (5%)
젠더 모자이크,"다프나 조엘 , 루바 비칸스키 ", 김혜림 ,2021-04-05,264 쪽,"16,500","14,850",825점 (5%)
나 아직 안 죽었다,김재완 ,x,2021-04-02,232 쪽,"14,500","13,050",725점 (5%)
스파크를 활용한 실시간 처리,"제러드 마스 , 프랑수아 가릴로 ", 김인범 ,2021-04-02,472 쪽,"38,000","34,200","1,900점 (5%)"
게임 엔진 블랙 북 : 둠,파비앙 상글라르 , 박재호 ,2021-04-01,472 쪽,"42,000","37,800","2,100점 (5%)"
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼 ", 김재경 ,2021-04-01,500 쪽,"28,000","28,000",840점 (3%)
러닝 SQL,앨런 볼리외 ," 류수미 , 송희정 ",2021-03-30,456 쪽,"30,000","27,000","1,500점 (5%)"
이야기로 배우는 구글 빅쿼리,"구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ", 정인식 ,2021-03-30,256 쪽,"20,000","18,000","1,000점 (5%)"
저는 심리학이 처음인데요(개정판),강현식 ,x,2021-03-30,454 쪽,"18,000","16,200",900점 (5%)
저는 인문학이 처음인데요(개정판),박홍순 ,x,2021-03-30,478 쪽,"18,000","16,200",900점 (5%)
쓰면서 익히는 알고리즘과 자료구조,윤대석 ,x,2021-03-29,388 쪽,"26,000","23,400","1,300점 (5%)"
오늘부터 달리기를 합니다,이진이(지니코치) ,x,2021-03-25,152 쪽,"14,800","13,320",740점 (5%)
찾아도 찾아도 끝판왕 집중력 미로찾기 101,매튜 스캇 ,x,2021-03-25,104 쪽,"8,000","7,200",400점 (5%)
찾아도 찾아도 끝판왕 창의력 미로찾기 101,록리지 프레스 ,x,2021-03-25,104 쪽,"8,000","7,200",400점 (5%)
몽고DB 완벽 가이드(3판),"크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ", 김인범 ,2021-03-22,600 쪽,"36,000","32,400","1,800점 (5%)"
어린이를 위한 초등 자기주도 공부법×배움공책,"이은경 , 이성종 ",x,2021-03-20,188 쪽,"14,800","13,320",740점 (5%)
기술의 시대,"브래드 스미스 , 캐럴 앤 브라운 ", 이지연 ,2021-03-15,544 쪽,"25,000","22,500","1,250점 (5%)"
맛있는 디자인 프리미어 프로 CC 2021,"정지원 , 심수진 , 윤성우 , 김덕영 ",x,2021-03-12,484 쪽,"24,000","21,600","1,200점 (5%)"
GAN 첫걸음,타리크 라시드 , 고락윤 ,2021-03-10,280 쪽,"25,000","22,500","1,250점 (5%)"
디노 첫걸음,페르난도 돌리오 , 우정은 ,2021-03-10,160 쪽,"17,000","15,300",850점 (5%)
맛있는 디자인 일러스트레이터 CC 2021,빨간고래(박정아) ,x,2021-03-09,504 쪽,"24,000","21,600","1,200점 (5%)"
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈 ,x,2021-03-07,512 쪽,"27,000","27,000",810점 (3%)
사실은 사랑받고 싶었어,"박재연 , 박성혜(그림) ",x,2021-03-05,244 쪽,"14,800","13,320",740점 (5%)
한글처럼 쉬운 중국어,"김원재 , 강은주 ",x,2021-03-05,156 쪽,"18,000","18,000",540점 (3%)
회계원리,"이기호 , 이정엽 , 전홍준 ",x,2021-03-05,332 쪽,"23,000","23,000",690점 (3%)
대한민국 부동산 미래지도,김학렬(빠숑) ,x,2021-03-04,704 쪽,"33,500","30,150","1,675점 (5%)"
맛있는 디자인 애프터 이펙트 CC 2021,이수정 ,x,2021-03-03,500 쪽,"24,000","21,600","1,200점 (5%)"
맛있는 디자인 포토샵 CC 2021,"윤이사라(포완카) , 김신애 ",x,2021-03-03,448 쪽,"21,000","18,900","1,050점 (5%)"
상위 1% 아이가 하고 있는 서울대 아빠식 문해력 독서법,"이재익 , 김훈종 ",x,2021-03-02,388 쪽,"16,800","15,120",840점 (5%)
이것이 안드로이드다 with 코틀린(개정판),고돈호 ,x,2021-03-02,768 쪽,"34,000","30,600","1,700점 (5%)"
친절한 딥러닝 수학,다테이시 겐고 , 김형민 ,2021-03-02,356 쪽,"28,000","25,200","1,400점 (5%)"
누구 먼저 살려야 할까,제이콥 M. 애펠 , 김정아 ,2021-02-28,396 쪽,"17,800","16,020",890점 (5%)
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,x,2021-02-25,344 쪽,"26,000","23,400","1,300점 (5%)"
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강 ",x,2021-02-25,404 쪽,"26,000","26,000",780점 (3%)
최신 원가회계,"정재권 , 서한결 , 곽종민 ",x,2021-02-25,444 쪽,"28,000","28,000",840점 (3%)
"IT CookBook, C 언어 일취월장(2판)",신윤환 ,x,2021-02-24,800 쪽,"28,000","28,000",840점 (3%)
소비자행동,김학윤 ,x,2021-02-23,660 쪽,"35,000","35,000","1,050점 (3%)"
재미있고 빠른 어휘력 동화 – 두근두근 이 마음은 뭘까,"김세실 , 김도윤(그림) ",x,2021-02-20,104 쪽,"12,000","10,800",600점 (5%)
재미있고 빠른 어휘력 동화 – 키득키득 재밌는 의성어 의태어,"김예실 , 김희선(그림) ",x,2021-02-20,104 쪽,"12,000","10,800",600점 (5%)
웹 애플리케이션 보안,앤드루 호프먼 , 최용 ,2021-02-19,372 쪽,"30,000","27,000","1,500점 (5%)"
